TranscriptClusterID	Chrom	Start	Stop	TotalProbes	AccessionID	Gene	mRNA	LocusType	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
TC0100000055.mm.1	chr1	10993465	11303682	470	NM_001033636	Prex2	NM_001033636 // Prex2 // phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	refseq:NM:protein_coding:CODING	0.896376666666669	11.349735	6.12926927335574	0.000836941615955046	0.354077401955272	-0.280895320941774	1.86138523254907
TC0100000338.mm.1	chr1	44551511	44796836	190	NM_028450	Gulp1	NM_028450 // Gulp1 // GULP, engulfment adaptor PTB domain containing 1	refseq:NM:protein_coding:CODING	2.08846333333333	11.7289483333333	4.03568131763416	0.00672458458841347	0.569096288280454	-1.93556822070169	4.2529483473366
TC0100000681.mm.1	chr1	78510991	78606964	137	NM_026713	Mogat1	NM_026713 // Mogat1 // monoacylglycerol O-acyltransferase 1	refseq:NM:protein_coding:CODING	-0.853296666666665	6.46755833333333	-5.34460669486452	0.00171034562661979	0.423469255725203	-0.814820655971206	-1.80662448492104
TC0100001028.mm.1	chr1	107361929	107380475	89	NM_025867	Serpinb11	NM_025867 // Serpinb11 // serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 11	refseq:NM:protein_coding:CODING	-0.855986666666666	6.30342666666667	-4.02885840404652	0.00677713182074115	0.569096288280454	-1.94224566590488	-1.80999619777169
TC0100001257.mm.1	chr1	135836334	135852268	147	NM_001130174	Tnnt2	NM_001130174 // Tnnt2 // troponin T2, cardiac	refseq:NM:protein_coding:CODING	-0.649143333333333	9.71560166666667	-4.56976184353321	0.0037360386584642	0.544552692302836	-1.44050274339685	-1.56823670644737
TC0100001356.mm.1	chr1	151571186	151721939	259	NM_022018	Fam129a	NM_022018 // Fam129a // family with sequence similarity 129, member A	refseq:NM:protein_coding:CODING	2.26315333333334	9.69079333333333	3.72944883670194	0.00960361266992854	0.569096288280454	-2.24412772278082	4.80039570076222
TC0100001379.mm.1	chr1	153653025	153697667	230	NM_026380	Rgs8	NM_026380 // Rgs8 // regulator of G-protein signaling 8	refseq:NM:protein_coding:CODING	0.888293333333333	8.51942	3.71646391587067	0.00975293820281227	0.569096288280454	-2.25761081406402	1.8509851659952
TC0100001592.mm.1	chr1	171437535	171464603	152	NM_172647	F11r	NM_172647 // F11r // F11 receptor	refseq:NM:protein_coding:CODING	-1.16103333333333	9.39819333333333	-3.88431042154438	0.00800548530230638	0.569096288280454	-2.08582600960618	-2.23617536795657
TC0100001882.mm.1	chr1	194938821	194961292	120	NM_001111059	Cd34	NM_001111059 // Cd34 // CD34 antigen	refseq:NM:protein_coding:CODING	-1.68211	11.2147083333333	-5.4581835075985	0.0015353217894006	0.419760314878188	-0.731678597869535	-3.20896932776717
TC0100002811.mm.1	chr1	92464483	92464542	30	NR_105865	Mir6900	NR_105865 // Mir6900 // microRNA mir-6900	refseq:NR:ncRNA:NONCODING	-0.651616666666665	4.98905166666667	-6.1187401912441	0.000844616710424854	0.354077401955272	-0.287461803060626	-1.57092757233649
TC0100002903.mm.1	chr1	107045587	107052337	80	NM_009126	Serpinb3a	NM_009126 // Serpinb3a // serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 3A	refseq:NM:protein_coding:CODING	-0.688906666666666	6.21023	-4.39252829020261	0.00451954873188255	0.54533765094777	-1.59879322406927	-1.61206136933838
TC0100002945.mm.1	chr1	119415465	119422248	40	NM_008381	Inhbb	NM_008381 // Inhbb // inhibin beta-B	refseq:NM:protein_coding:CODING	-1.07635666666667	7.832145	-6.85178788611307	0.000459657183176195	0.340051680247966	0.134956043214758	-2.10870410123374
